From,To,Reason,Transfer Date,Status At Transfer
SHCF,Auckland,Placement Management,2-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,2-Jul-18,Remand - Convicted
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Sentenced (Low)
MECF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Remand - Accused
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Remand - Accused
Auckland,SHCF,Judicial,2-Jul-18,Sentenced (High)
SHCF,Auckland,Placement Management,2-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
MECF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Remand - Accused
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Sentenced (High)
Auckland,ASCF,Personal Request,2-Jul-18,Sentenced (High)
Christchurch,Rolleston,Accepted for Programme,2-Jul-18,Sentenced
MECF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Sentenced (Low Medium)
Invercargill,OCF,Judicial,2-Jul-18,Remand - Accused
Waikeria,MECF,Judicial,2-Jul-18,Sentenced
Auckland,NRCF,Judicial,2-Jul-18,Sentenced (High)
MECF,NRCF,Judicial,2-Jul-18,Remand - Convicted
Christchurch,Rolleston,Placement Review,2-Jul-18,Remand - Accused
Auckland,ASCF,Personal Request,2-Jul-18,Sentenced (Low Medium)
SHCF,ASCF,Population Management,2-Jul-18,Sentenced (High)
SHCF,ASCF,Population Management,2-Jul-18,Sentenced (Low)
MECF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Remand - Accused
ASCF,SHCF,In Transit/Multi-Site Move,2-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,2-Jul-18,Remand - Accused
SHCF,Auckland,Accepted for Programme,2-Jul-18,Sentenced (Low Medium)
SHCF,Tongariro,Accepted for Programme,3-Jul-18,Sentenced (Low)
MECF,Rimutaka,Personal Request,3-Jul-18,Sentenced (High)
OCF,Christchurch,Judicial,3-Jul-18,Remand - Convicted
MECF,Hawkes Bay,Accepted for Programme,3-Jul-18,Remand - Accused
OCF,Christchurch,Release,3-Jul-18,Sentenced (Low Medium)
Christchurch,OCF,Population Management,3-Jul-18,Sentenced
SHCF,MECF,Judicial,3-Jul-18,Remand - Accused
Whanganui,Rimutaka,Placement Management,3-Jul-18,Sentenced
MECF,Rimutaka,Population Management,3-Jul-18,Remand - Accused
OCF,Christchurch,Judicial,3-Jul-18,Remand - Convicted
Christchurch,OCF,Population Management,3-Jul-18,Remand - Accused
SHCF,Hawkes Bay,Personal Request,3-Jul-18,Sentenced (Low Medium)
Hawkes Bay,Tongariro,Population Management,3-Jul-18,Sentenced (Low Medium)
SHCF,Hawkes Bay,Accepted for Programme,3-Jul-18,Sentenced (Low Medium)
OCF,Rolleston,Accepted for Programme,3-Jul-18,Remand - Accused
SHCF,Whanganui,Accepted for Programme,3-Jul-18,Sentenced (Low)
MECF,Rimutaka,Population Management,3-Jul-18,Remand - Accused
Waikeria,Hawkes Bay,Population Management,3-Jul-18,Remand - Accused
Waikeria,Rimutaka,Population Management,3-Jul-18,Remand - Accused
SHCF,Hawkes Bay,Accepted for Programme,3-Jul-18,Sentenced (Low Medium)
Waikeria,Tongariro,Personal Request,3-Jul-18,Sentenced
Christchurch,OCF,Population Management,3-Jul-18,Sentenced (High)
Waikeria,Rimutaka,Placement Management,3-Jul-18,Sentenced (Low Medium)
Waikeria,Rimutaka,Population Management,3-Jul-18,Sentenced
Waikeria,Tongariro,Accepted for Programme,3-Jul-18,Sentenced
Waikeria,Rimutaka,Population Management,3-Jul-18,Remand - Accused
Waikeria,Hawkes Bay,Population Management,3-Jul-18,Remand - Accused
MECF,Rimutaka,Population Management,3-Jul-18,Remand - Accused
SHCF,Tongariro,Accepted for Programme,3-Jul-18,Sentenced (Low Medium)
Waikeria,MECF,In Transit/Multi-Site Move,3-Jul-18,Remand - Accused
OCF,Christchurch,Judicial,3-Jul-18,Remand - Accused
Waikeria,MECF,Judicial,3-Jul-18,Remand - Accused
Tongariro,Rimutaka,Release,3-Jul-18,Sentenced (Minimum)
Christchurch,Rolleston,Population Management,4-Jul-18,Sentenced
MECF,ASCF,Population Management,4-Jul-18,Sentenced
Invercargill,OCF,Placement Management,4-Jul-18,Remand - Accused
Waikeria,SHCF,Judicial,4-Jul-18,Remand - Accused
MECF,ASCF,Population Management,4-Jul-18,Sentenced
Waikeria,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Accused
Invercargill,OCF,Accepted for Programme,4-Jul-18,Sentenced (Low Medium)
Hawkes Bay,Manawatu,Judicial,4-Jul-18,Remand - Accused
Waikeria,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Accused
Rimutaka,Whanganui,Personal Request,4-Jul-18,Remand - Accused
Rimutaka,Waikeria,Release,4-Jul-18,Sentenced (High)
Hawkes Bay,Whanganui,Accepted for Programme,4-Jul-18,Sentenced (Low Medium)
MECF,NRCF,Judicial,4-Jul-18,Remand - Accused
Rimutaka,SHCF,In Transit/Multi-Site Move,4-Jul-18,Recall Outstanding (Minimum)
MECF,ASCF,Population Management,4-Jul-18,Sentenced
SHCF,Waikeria,Judicial,4-Jul-18,Sentenced (High)
Whanganui,Hawkes Bay,Population Management,4-Jul-18,Sentenced (Minimum)
Tongariro,Waikeria,Placement Management,4-Jul-18,Sentenced (Low)
OCF,Invercargill,Placement Management,4-Jul-18,Sentenced
MECF,NRCF,Judicial,4-Jul-18,Remand - Accused
MECF,NRCF,Judicial,4-Jul-18,Remand - Accused
MECF,NRCF,Judicial,4-Jul-18,Remand - Accused
Whanganui,Hawkes Bay,Population Management,4-Jul-18,Sentenced (Minimum)
Rimutaka,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Convicted
Hawkes Bay,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Accused
Whanganui,Waikeria,Judicial,4-Jul-18,Remand - Accused
Tongariro,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (Low)
Hawkes Bay,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Accused
Hawkes Bay,Whanganui,Accepted for Programme,4-Jul-18,Sentenced (Low Medium)
Rimutaka,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (High)
Rimutaka,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (Minimum)
MECF,NRCF,Judicial,4-Jul-18,Remand - Accused
Whanganui,SHCF,In Transit/Multi-Site Move,4-Jul-18,Remand - Convicted
OCF,Invercargill,Accepted for Programme,4-Jul-18,Sentenced (Low)
Rimutaka,SHCF,Personal Request,4-Jul-18,Remand - Convicted
Rimutaka,Whanganui,Personal Request,4-Jul-18,Sentenced (Low Medium)
Rimutaka,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (Maximum)
Christchurch,Rolleston,Population Management,4-Jul-18,Remand - Accused
Manawatu,SHCF,In Transit/Multi-Site Move,4-Jul-18,Sentenced (High)
Rimutaka,Tongariro,Population Management,4-Jul-18,Sentenced (High)
Hawkes Bay,Tongariro,Release,4-Jul-18,Sentenced (Low Medium)
Rimutaka,Tongariro,Accepted for Programme,4-Jul-18,Sentenced (Minimum)
Whanganui,Waikeria,Accepted for Programme,4-Jul-18,Sentenced (Low Medium)
MECF,ASCF,Population Management,4-Jul-18,Sentenced
Rimutaka,Hawkes Bay,Accepted for Programme,4-Jul-18,Sentenced
MECF,ASCF,Population Management,4-Jul-18,Sentenced
Rimutaka,Tongariro,Population Management,4-Jul-18,Sentenced (High)
MECF,NRCF,Judicial,4-Jul-18,Remand - Convicted
Waikeria,NRCF,Judicial,4-Jul-18,Remand - Convicted
Rimutaka,Waikeria,Personal Request,4-Jul-18,Remand - Convicted
Hawkes Bay,Whanganui,Accepted for Programme,4-Jul-18,Sentenced (Minimum)
Whanganui,Waikeria,Judicial,4-Jul-18,Remand - Accused
Rimutaka,Waikeria,Judicial,4-Jul-18,Remand - Accused
MECF,ASCF,Population Management,4-Jul-18,Sentenced
